BenefitRankingUIActivityLog,,,,,,
Plan Number,Element Path,Field,Row,Description,Updated By,Updated Date
H4514019000,Benefit Ranking,Benefit Acquisition Ranking,32176,Benefit Acquisition Ranking changed from 5 to 4,acrayto2,8/9/2022 14:59
H4514019000,Benefit Ranking,Benefit Acquisition Ranking,32174,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:59
H4514019000,Benefit Ranking,Benefit Acquisition Ranking,32172,Benefit Acquisition Ranking changed from 11 to 10,acrayto2,8/9/2022 14:59
H4514019000,Benefit Ranking,Benefit Acquisition Ranking,32169,Benefit Acquisition Ranking changed from 15 to 14,acrayto2,8/9/2022 14:59
H4514019000,Benefit Ranking,Benefit Acquisition Ranking,32168,Benefit Acquisition Ranking changed from 13 to 12,acrayto2,8/9/2022 14:59
H4514019000,Benefit Ranking,Benefit Acquisition Ranking,32166,Benefit Acquisition Ranking changed from 10 to 9,acrayto2,8/9/2022 14:59
H4514019000,Benefit Ranking,Benefit Acquisition Ranking,32165,Benefit Acquisition Ranking changed from 6 to 5,acrayto2,8/9/2022 14:59
H4514019000,Benefit Ranking,Benefit Acquisition Ranking,32162,Benefit Acquisition Ranking changed from 8 to 7,acrayto2,8/9/2022 14:59
H4514019000,Benefit Ranking,Benefit Acquisition Ranking,32161,Benefit Acquisition Ranking changed from 12 to 11,acrayto2,8/9/2022 14:59
H4514019000,Benefit Ranking,Benefit Acquisition Ranking,32158,Benefit Acquisition Ranking changed from 9 to 8,acrayto2,8/9/2022 14:59
H4514019000,Benefit Ranking,Benefit Acquisition Ranking,32157,Benefit Acquisition Ranking changed from 14 to 13,acrayto2,8/9/2022 14:59
H4514018000,Benefit Ranking,Benefit Acquisition Ranking,32081,Benefit Acquisition Ranking changed from 6 to 4,acrayto2,8/9/2022 14:58
H4514018000,Benefit Ranking,Benefit Acquisition Ranking,32080,Benefit Acquisition Ranking changed from 5 to 3,acrayto2,8/9/2022 14:58
H4514018000,Benefit Ranking,Benefit Acquisition Ranking,32078,Benefit Acquisition Ranking changed from 0 to 14,acrayto2,8/9/2022 14:58
H4514018000,Benefit Ranking,Benefit Acquisition Ranking,32077,Benefit Acquisition Ranking changed from 10 to 8,acrayto2,8/9/2022 14:58
H4514018000,Benefit Ranking,Benefit Acquisition Ranking,32074,Benefit Acquisition Ranking changed from 14 to 12,acrayto2,8/9/2022 14:58
H4514018000,Benefit Ranking,Benefit Acquisition Ranking,32073,Benefit Acquisition Ranking changed from 12 to 10,acrayto2,8/9/2022 14:58
H4514018000,Benefit Ranking,Benefit Acquisition Ranking,32072,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:58
H4514018000,Benefit Ranking,Benefit Acquisition Ranking,32071,Benefit Acquisition Ranking changed from 9 to 7,acrayto2,8/9/2022 14:58
H4514018000,Benefit Ranking,Benefit Acquisition Ranking,32070,Benefit Acquisition Ranking changed from 15 to 13,acrayto2,8/9/2022 14:58
H4514018000,Benefit Ranking,Benefit Acquisition Ranking,32067,Benefit Acquisition Ranking changed from 7 to 5,acrayto2,8/9/2022 14:58
H4514018000,Benefit Ranking,Benefit Acquisition Ranking,32066,Benefit Acquisition Ranking changed from 11 to 9,acrayto2,8/9/2022 14:58
H4514018000,Benefit Ranking,Benefit Acquisition Ranking,32063,Benefit Acquisition Ranking changed from 8 to 6,acrayto2,8/9/2022 14:58
H4514018000,Benefit Ranking,Benefit Acquisition Ranking,32062,Benefit Acquisition Ranking changed from 13 to 11,acrayto2,8/9/2022 14:58
H4527006000,Benefit Ranking,Benefit Acquisition Ranking,32029,Benefit Acquisition Ranking changed from 6 to 5,acrayto2,8/9/2022 14:56
H4527006000,Benefit Ranking,Benefit Acquisition Ranking,32028,Benefit Acquisition Ranking changed from 5 to 4,acrayto2,8/9/2022 14:56
H4527006000,Benefit Ranking,Benefit Acquisition Ranking,32026,Benefit Acquisition Ranking changed from 15 to 14,acrayto2,8/9/2022 14:56
H4527006000,Benefit Ranking,Benefit Acquisition Ranking,32025,Benefit Acquisition Ranking changed from 9 to 8,acrayto2,8/9/2022 14:56
H4527006000,Benefit Ranking,Benefit Acquisition Ranking,32022,Benefit Acquisition Ranking changed from 13 to 12,acrayto2,8/9/2022 14:56
H4527006000,Benefit Ranking,Benefit Acquisition Ranking,32021,Benefit Acquisition Ranking changed from 11 to 10,acrayto2,8/9/2022 14:56
H4527006000,Benefit Ranking,Benefit Acquisition Ranking,32020,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:56
H4527006000,Benefit Ranking,Benefit Acquisition Ranking,32019,Benefit Acquisition Ranking changed from 8 to 7,acrayto2,8/9/2022 14:56
H4527006000,Benefit Ranking,Benefit Acquisition Ranking,32018,Benefit Acquisition Ranking changed from 14 to 13,acrayto2,8/9/2022 14:56
H4527006000,Benefit Ranking,Benefit Acquisition Ranking,32015,Benefit Acquisition Ranking changed from 7 to 6,acrayto2,8/9/2022 14:56
H4527006000,Benefit Ranking,Benefit Acquisition Ranking,32012,Benefit Acquisition Ranking changed from 10 to 9,acrayto2,8/9/2022 14:56
H4527006000,Benefit Ranking,Benefit Acquisition Ranking,32011,Benefit Acquisition Ranking changed from 12 to 11,acrayto2,8/9/2022 14:56
H4527004000,Benefit Ranking,Benefit Acquisition Ranking,31993,Benefit Acquisition Ranking changed from 6 to 5,acrayto2,8/9/2022 14:55
H4527004000,Benefit Ranking,Benefit Acquisition Ranking,31992,Benefit Acquisition Ranking changed from 5 to 4,acrayto2,8/9/2022 14:55
H4527004000,Benefit Ranking,Benefit Acquisition Ranking,31990,Benefit Acquisition Ranking changed from 14 to 13,acrayto2,8/9/2022 14:55
H4527004000,Benefit Ranking,Benefit Acquisition Ranking,31989,Benefit Acquisition Ranking changed from 9 to 8,acrayto2,8/9/2022 14:55
H4527004000,Benefit Ranking,Benefit Acquisition Ranking,31986,Benefit Acquisition Ranking changed from 12 to 11,acrayto2,8/9/2022 14:55
H4527004000,Benefit Ranking,Benefit Acquisition Ranking,31985,Benefit Acquisition Ranking changed from 10 to 9,acrayto2,8/9/2022 14:55
H4527004000,Benefit Ranking,Benefit Acquisition Ranking,31984,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:55
H4527004000,Benefit Ranking,Benefit Acquisition Ranking,31983,Benefit Acquisition Ranking changed from 13 to 12,acrayto2,8/9/2022 14:55
H4527004000,Benefit Ranking,Benefit Acquisition Ranking,31982,Benefit Acquisition Ranking changed from 15 to 14,acrayto2,8/9/2022 14:55
H4527004000,Benefit Ranking,Benefit Acquisition Ranking,31980,Benefit Acquisition Ranking changed from 7 to 6,acrayto2,8/9/2022 14:55
H4527004000,Benefit Ranking,Benefit Acquisition Ranking,31977,Benefit Acquisition Ranking changed from 8 to 7,acrayto2,8/9/2022 14:55
H4527004000,Benefit Ranking,Benefit Acquisition Ranking,31976,Benefit Acquisition Ranking changed from 11 to 10,acrayto2,8/9/2022 14:55
H4514015000,Benefit Ranking,Benefit Acquisition Ranking,21324,Benefit Acquisition Ranking changed from 6 to 5,acrayto2,8/9/2022 14:53
H4514015000,Benefit Ranking,Benefit Acquisition Ranking,21321,Benefit Acquisition Ranking changed from 11 to 10,acrayto2,8/9/2022 14:53
H4514015000,Benefit Ranking,Benefit Acquisition Ranking,21320,Benefit Acquisition Ranking changed from 5 to 4,acrayto2,8/9/2022 14:53
H4514015000,Benefit Ranking,Benefit Acquisition Ranking,21319,Benefit Acquisition Ranking changed from 8 to 7,acrayto2,8/9/2022 14:53
H4514015000,Benefit Ranking,Benefit Acquisition Ranking,21317,Benefit Acquisition Ranking changed from 14 to 13,acrayto2,8/9/2022 14:53
H4514015000,Benefit Ranking,Benefit Acquisition Ranking,21312,Benefit Acquisition Ranking changed from 7 to 6,acrayto2,8/9/2022 14:53
H4514015000,Benefit Ranking,Benefit Acquisition Ranking,21311,Benefit Acquisition Ranking changed from 12 to 11,acrayto2,8/9/2022 14:53
H4514015000,Benefit Ranking,Benefit Acquisition Ranking,21309,Benefit Acquisition Ranking changed from 15 to 14,acrayto2,8/9/2022 14:53
H4514015000,Benefit Ranking,Benefit Acquisition Ranking,21307,Benefit Acquisition Ranking changed from 10 to 9,acrayto2,8/9/2022 14:53
H4514015000,Benefit Ranking,Benefit Acquisition Ranking,21305,Benefit Acquisition Ranking changed from 9 to 8,acrayto2,8/9/2022 14:53
H4514015000,Benefit Ranking,Benefit Acquisition Ranking,21304,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:53
H4514015000,Benefit Ranking,Benefit Acquisition Ranking,21303,Benefit Acquisition Ranking changed from 13 to 12,acrayto2,8/9/2022 14:53
H5253061000,Benefit Ranking,Benefit Acquisition Ranking,38338,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:51
H2228039000,Benefit Ranking,Benefit Acquisition Ranking,38404,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:51
H2228017000,Benefit Ranking,Benefit Acquisition Ranking,35303,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:49
H2228016000,Benefit Ranking,Benefit Acquisition Ranking,35286,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:48
H2228011000,Benefit Ranking,Benefit Acquisition Ranking,35251,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:44
H1961019000,Benefit Ranking,Benefit Acquisition Ranking,35111,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:41
H1961003000,Benefit Ranking,Benefit Acquisition Ranking,34925,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:34
H0710036000,Benefit Ranking,Benefit Acquisition Ranking,34095,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:27
H0543242000,Benefit Ranking,Benefit Acquisition Ranking,33519,Benefit Acquisition Ranking changed from 0 to 14,acrayto2,8/9/2022 14:26
H4590022000,Benefit Ranking,Benefit Acquisition Ranking,32124,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:25
H4514016000,Benefit Ranking,Benefit Acquisition Ranking,32050,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:23
H4590020000,Benefit Ranking,Benefit Acquisition Ranking,31999,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:22
H4527003000,Benefit Ranking,Benefit Acquisition Ranking,31584,Benefit Acquisition Ranking changed from 0 to 15,acrayto2,8/9/2022 14:21
H0543240000,Benefit Ranking,Benefit Acquisition Ranking,31190,Benefit Acquisition Ranking changed from 0 to 14,acrayto2,8/9/2022 14:20
H0543239000,Benefit Ranking,Benefit Acquisition Ranking,31130,Benefit Acquisition Ranking changed from 0 to 14,acrayto2,8/9/2022 14:19
H0543241000,Benefit Ranking,Benefit Acquisition Ranking,28777,Benefit Acquisition Ranking changed from 0 to 14,acrayto2,8/9/2022 13:59
H2226001000,Benefit Ranking,Benefit Acquisition Ranking,31449,Benefit Acquisition Ranking changed from 2 to 3,bpouti,7/22/2022 17:07
H2226001000,Benefit Ranking,Benefit Acquisition Ranking,31448,Benefit Acquisition Ranking changed from 0 to 2,bpouti,7/22/2022 17:07
H2226001000,Benefit Ranking,Benefit Acquisition Ranking,31447,Benefit Acquisition Ranking changed from 4 to 5,bpouti,7/22/2022 17:07
H2226001000,Benefit Ranking,Benefit Acquisition Ranking,31446,Benefit Acquisition Ranking changed from 8 to 9,bpouti,7/22/2022 17:07
H2226001000,Benefit Ranking,Benefit Acquisition Ranking,31445,Benefit Acquisition Ranking changed from 10 to 11,bpouti,7/22/2022 17:07
H2226001000,Benefit Ranking,Benefit Acquisition Ranking,31444,Benefit Acquisition Ranking changed from 9 to 10,bpouti,7/22/2022 17:07
H2226001000,Benefit Ranking,Benefit Acquisition Ranking,31442,Benefit Acquisition Ranking changed from 7 to 8,bpouti,7/22/2022 17:07
H2226001000,Benefit Ranking,Benefit Acquisition Ranking,31441,Benefit Acquisition Ranking changed from 13 to 14,bpouti,7/22/2022 17:07
H2226001000,Benefit Ranking,Benefit Acquisition Ranking,31440,Benefit Acquisition Ranking changed from 12 to 13,bpouti,7/22/2022 17:07
H2226001000,Benefit Ranking,Benefit Acquisition Ranking,31439,Benefit Acquisition Ranking changed from 6 to 7,bpouti,7/22/2022 17:07
H2226001000,Benefit Ranking,Benefit Acquisition Ranking,31438,Benefit Acquisition Ranking changed from 11 to 12,bpouti,7/22/2022 17:07
H2226001000,Benefit Ranking,Benefit Acquisition Ranking,31437,Benefit Acquisition Ranking changed from 3 to 4,bpouti,7/22/2022 17:07
H2226001000,Benefit Ranking,Benefit Acquisition Ranking,31436,Benefit Acquisition Ranking changed from 5 to 6,bpouti,7/22/2022 17:07
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37139,Benefit Acquisition Ranking changed from 0 to 4,cwils58,6/29/2022 22:26
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37138,Benefit Acquisition Ranking changed from 0 to 9,cwils58,6/29/2022 22:26
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37137,Benefit Acquisition Ranking changed from 0 to 2,cwils58,6/29/2022 22:26
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37136,Benefit Acquisition Ranking changed from 0 to 7,cwils58,6/29/2022 22:26
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37134,Benefit Acquisition Ranking changed from 0 to 3,cwils58,6/29/2022 22:26
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37133,Benefit Acquisition Ranking changed from 0 to 8,cwils58,6/29/2022 22:26
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37131,Benefit Acquisition Ranking changed from 0 to 14,cwils58,6/29/2022 22:26
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37129,Benefit Acquisition Ranking changed from 0 to 12,cwils58,6/29/2022 22:26
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37128,Benefit Acquisition Ranking changed from 0 to 10,cwils58,6/29/2022 22:26
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37126,Benefit Acquisition Ranking changed from 0 to 15,cwils58,6/29/2022 22:26
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37125,Benefit Acquisition Ranking changed from 0 to 11,cwils58,6/29/2022 22:26
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37124,Benefit Acquisition Ranking changed from 0 to 5,cwils58,6/29/2022 22:26
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37122,Benefit Acquisition Ranking changed from 0 to 6,cwils58,6/29/2022 22:26
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37121,Benefit Acquisition Ranking changed from 0 to 1,cwils58,6/29/2022 22:26
H5652006000,Benefit Ranking,Benefit Acquisition Ranking,37120,Benefit Acquisition Ranking changed from 0 to 13,cwils58,6/29/2022 22:26
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35098,Benefit Acquisition Ranking changed from 0 to 5,cwils58,6/29/2022 22:17
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35097,Benefit Acquisition Ranking changed from 0 to 2,cwils58,6/29/2022 22:17
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35096,Benefit Acquisition Ranking changed from 0 to 7,cwils58,6/29/2022 22:17
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35094,Benefit Acquisition Ranking changed from 0 to 10,cwils58,6/29/2022 22:17
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35093,Benefit Acquisition Ranking changed from 0 to 4,cwils58,6/29/2022 22:17
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35092,Benefit Acquisition Ranking changed from 0 to 8,cwils58,6/29/2022 22:17
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35090,Benefit Acquisition Ranking changed from 0 to 15,cwils58,6/29/2022 22:17
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35089,Benefit Acquisition Ranking changed from 0 to 3,cwils58,6/29/2022 22:17
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35086,Benefit Acquisition Ranking changed from 0 to 13,cwils58,6/29/2022 22:17
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35085,Benefit Acquisition Ranking changed from 0 to 9,cwils58,6/29/2022 22:17
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35084,Benefit Acquisition Ranking changed from 0 to 11,cwils58,6/29/2022 22:17
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35081,Benefit Acquisition Ranking changed from 0 to 12,cwils58,6/29/2022 22:17
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35080,Benefit Acquisition Ranking changed from 0 to 6,cwils58,6/29/2022 22:17
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35079,Benefit Acquisition Ranking changed from 0 to 1,cwils58,6/29/2022 22:17
H1961017000,Benefit Ranking,Benefit Acquisition Ranking,35078,Benefit Acquisition Ranking changed from 0 to 14,cwils58,6/29/2022 22:17
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35765,Benefit Acquisition Ranking changed from 0 to 6,cwils58,6/29/2022 22:13
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35764,Benefit Acquisition Ranking changed from 0 to 2,cwils58,6/29/2022 22:13
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35762,Benefit Acquisition Ranking changed from 0 to 9,cwils58,6/29/2022 22:13
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35758,Benefit Acquisition Ranking changed from 0 to 12,cwils58,6/29/2022 22:13
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35756,Benefit Acquisition Ranking changed from 0 to 5,cwils58,6/29/2022 22:13
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35754,Benefit Acquisition Ranking changed from 0 to 10,cwils58,6/29/2022 22:13
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35749,Benefit Acquisition Ranking changed from 0 to 3,cwils58,6/29/2022 22:13
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35746,Benefit Acquisition Ranking changed from 0 to 15,cwils58,6/29/2022 22:13
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35745,Benefit Acquisition Ranking changed from 0 to 11,cwils58,6/29/2022 22:13
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35744,Benefit Acquisition Ranking changed from 0 to 13,cwils58,6/29/2022 22:13
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35740,Benefit Acquisition Ranking changed from 0 to 14,cwils58,6/29/2022 22:13
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35739,Benefit Acquisition Ranking changed from 0 to 7,cwils58,6/29/2022 22:13
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35737,Benefit Acquisition Ranking changed from 0 to 4,cwils58,6/29/2022 22:13
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35735,Benefit Acquisition Ranking changed from 0 to 8,cwils58,6/29/2022 22:13
H8768030000,Benefit Ranking,Benefit Acquisition Ranking,35734,Benefit Acquisition Ranking changed from 0 to 1,cwils58,6/29/2022 22:13
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37022,Benefit Acquisition Ranking changed from 0 to 6,cwils58,6/29/2022 22:12
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37021,Benefit Acquisition Ranking changed from 0 to 13,cwils58,6/29/2022 22:12
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37020,Benefit Acquisition Ranking changed from 0 to 5,cwils58,6/29/2022 22:12
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37019,Benefit Acquisition Ranking changed from 0 to 3,cwils58,6/29/2022 22:12
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37018,Benefit Acquisition Ranking changed from 0 to 11,cwils58,6/29/2022 22:12
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37016,Benefit Acquisition Ranking changed from 0 to 10,cwils58,6/29/2022 22:12
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37014,Benefit Acquisition Ranking changed from 0 to 1,cwils58,6/29/2022 22:12
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37012,Benefit Acquisition Ranking changed from 0 to 15,cwils58,6/29/2022 22:12
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37010,Benefit Acquisition Ranking changed from 0 to 9,cwils58,6/29/2022 22:12
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37009,Benefit Acquisition Ranking changed from 0 to 2,cwils58,6/29/2022 22:12
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37006,Benefit Acquisition Ranking changed from 0 to 7,cwils58,6/29/2022 22:12
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37005,Benefit Acquisition Ranking changed from 0 to 12,cwils58,6/29/2022 22:12
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37004,Benefit Acquisition Ranking changed from 0 to 4,cwils58,6/29/2022 22:12
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37002,Benefit Acquisition Ranking changed from 0 to 8,cwils58,6/29/2022 22:12
H3113013000,Benefit Ranking,Benefit Acquisition Ranking,37001,Benefit Acquisition Ranking changed from 0 to 14,cwils58,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34526,Benefit Acquisition Ranking changed from 0 to 4,bpouti,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34525,Benefit Acquisition Ranking changed from 0 to 2,bpouti,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34524,Benefit Acquisition Ranking changed from 0 to 1,bpouti,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34523,Benefit Acquisition Ranking changed from 0 to 12,bpouti,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34522,Benefit Acquisition Ranking changed from 0 to 15,bpouti,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34520,Benefit Acquisition Ranking changed from 0 to 8,bpouti,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34517,Benefit Acquisition Ranking changed from 0 to 3,bpouti,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34515,Benefit Acquisition Ranking changed from 0 to 14,bpouti,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34513,Benefit Acquisition Ranking changed from 0 to 9,bpouti,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34512,Benefit Acquisition Ranking changed from 0 to 11,bpouti,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34511,Benefit Acquisition Ranking changed from 0 to 13,bpouti,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34509,Benefit Acquisition Ranking changed from 0 to 5,bpouti,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34508,Benefit Acquisition Ranking changed from 0 to 6,bpouti,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34507,Benefit Acquisition Ranking changed from 0 to 7,bpouti,6/29/2022 22:12
H0710060000,Benefit Ranking,Benefit Acquisition Ranking,34506,Benefit Acquisition Ranking changed from 0 to 10,bpouti,6/29/2022 22:12
H2228071000,Benefit Ranking,Benefit Acquisition Ranking,24194,Benefit Acquisition Ranking changed from 0 to 3,cwils58,6/29/2022 22:08
H2228071000,Benefit Ranking,Benefit Acquisition Ranking,24193,Benefit Acquisition Ranking changed from 0 to 2,cwils58,6/29/2022 22:08
H2228071000,Benefit Ranking,Benefit Acquisition Ranking,24192,Benefit Acquisition Ranking changed from 0 to 6,cwils58,6/29/2022 22:08
H2228071000,Benefit Ranking,Benefit Acquisition Ranking,24190,Benefit Acquisition Ranking changed from 0 to 9,cwils58,6/29/2022 22:08
H2228071000,Benefit Ranking,Benefit Acquisition Ranking,24188,Benefit Acquisition Ranking changed from 0 to 7,cwils58,6/29/2022 22:08
H2228071000,Benefit Ranking,Benefit Acquisition Ranking,24186,Benefit Acquisition Ranking changed from 0 to 14,cwils58,6/29/2022 22:08
H2228071000,Benefit Ranking,Benefit Acquisition Ranking,24183,Benefit Acquisition Ranking changed from 0 to 12,cwils58,6/29/2022 22:08
H2228071000,Benefit Ranking,Benefit Acquisition Ranking,24182,Benefit Acquisition Ranking changed from 0 to 8,cwils58,6/29/2022 22:08
H2228071000,Benefit Ranking,Benefit Acquisition Ranking,24181,Benefit Acquisition Ranking changed from 0 to 10,cwils58,6/29/2022 22:08
H2228071000,Benefit Ranking,Benefit Acquisition Ranking,24178,Benefit Acquisition Ranking changed from 0 to 15,cwils58,6/29/2022 22:08
